corpus,doc_id,feature_name
federation,fed_16,Serialisation_Agnostic
federation,fed_16,Traceability
federation,fed_16,X_Domain
federation,fed_17,Content
federation,fed_17,Decomposable
federation,fed_17,Explicit
federation,fed_17,External
federation,fed_17,Formalism_Agnostic
federation,fed_17,Meta_model
federation,fed_17,Model
federation,fed_17,N_ary
federation,fed_17,X_Domain
federation,fed_18,CPS_Domain
federation,fed_18,Explicit
federation,fed_18,Incremental
federation,fed_18,Meta_model
federation,fed_18,Model
federation,fed_18,ModelConsistencyChecking_Repair
federation,fed_18,N_ary
federation,fed_18,OnLinks
federation,fed_18,Persistence
federation,fed_18,Reactive_Trigger
federation,fed_19,Binary
federation,fed_19,Decomposable
federation,fed_19,Explicit
federation,fed_19,Formalism_Agnostic
federation,fed_19,InFederation
federation,fed_19,Incremental
federation,fed_19,Manual_Trigger
federation,fed_19,Meta_model
federation,fed_19,Model
federation,fed_19,OnLinks
federation,fed_19,Reactive_Trigger
federation,fed_19,X_Domain
federation,fed_20,Ecore
federation,fed_20,Explicit
federation,fed_20,Formalism_Agnostic
federation,fed_20,Meta_model
federation,fed_20,N_ary
federation,fed_20,Reference
federation,fed_20,X_Domain
federation,fed_21,Binary
federation,fed_21,Content
federation,fed_21,Decomposable
federation,fed_21,Formalism_Agnostic
federation,fed_21,Implicit
federation,fed_21,Incremental
federation,fed_21,Links_Typology
federation,fed_21,Meta_model
federation,fed_21,ModelComposition
federation,fed_21,ModelConsistencyChecking_Repair
federation,fed_21,OnLinks
federation,fed_21,Persistence
federation,fed_21,Reactive_Trigger
federation,fed_21,Traceability
federation,fed_22,External
federation,fed_22,Implicit
federation,fed_22,Model
federation,fed_22,N_ary
federation,fed_22,Reactive_Trigger
federation,fed_22,Reference
federation,fed_22,Traceability
federation,fed_23,Binary
federation,fed_23,Content
federation,fed_23,Formalism_Agnostic
federation,fed_23,X_Domain
repair,rep_01,Composite
repair,rep_01,Concrete
repair,rep_01,Consistency_Improving
repair,rep_01,Delta_based
repair,rep_01,Fixed
repair,rep_01,Goal
repair,rep_01,History
repair,rep_01,Intra_model
repair,rep_01,Logical
repair,rep_01,Meta_model_Independent
repair,rep_01,Operation_Costs
repair,rep_01,Operation_based
repair,rep_01,Pre_defined
repair,rep_01,Pre_state
repair,rep_01,Repair_Plan
repair,rep_01,Search_based
repair,rep_01,Stability
repair,rep_01,Totality
repair,rep_01,User
repair,rep_02,Composite
repair,rep_02,Concrete
repair,rep_02,Consistency_Improving
repair,rep_02,Delta_based
repair,rep_02,Fixed
repair,rep_02,Intra_model
repair,rep_02,Logical
repair,rep_02,Meta_model_Independent
repair,rep_02,Object_oriented
repair,rep_02,Opaque
repair,rep_02,Operation_based
repair,rep_02,Other
repair,rep_02,Repair_Plan
repair,rep_02,Stability
repair,rep_02,Syntactic
repair,rep_02,Totality
repair,rep_02,User
repair,rep_02,Violations
repair,rep_03,Boolean
repair,rep_03,Checkonly
repair,rep_03,Composite
repair,rep_03,Concrete
repair,rep_03,Consistency_Improving
repair,rep_03,Delta_based
repair,rep_03,EMF
repair,rep_03,Edit_Operations
repair,rep_03,Fixed
repair,rep_03,Intra_model
repair,rep_03,Logical
repair,rep_03,MDA
repair,rep_03,Meta_model_Independent
repair,rep_03,Object_oriented
repair,rep_03,Opaque
repair,rep_03,Operation_based
repair,rep_03,Pre_state
repair,rep_03,Repair_Action
repair,rep_03,Repair_Hints
repair,rep_03,Single_Repair
repair,rep_03,Stability
repair,rep_03,User
repair,rep_04,Composite
repair,rep_04,Concrete
repair,rep_04,Consistency_Improving
repair,rep_04,Customizable
repair,rep_04,Inter_model
repair,rep_04,Logical
repair,rep_04,Meta_model_Independent
repair,rep_04,Multi_model
repair,rep_04,Multiple_Repairs
repair,rep_04,Object_oriented
repair,rep_04,Pre_defined
repair,rep_04,Repair_Hints
repair,rep_04,Rule_based
repair,rep_04,Stability
repair,rep_04,State_based
repair,rep_04,Totality
repair,rep_04,User
repair,rep_04,Violations
repair,rep_05,Checkonly
repair,rep_05,Composite
repair,rep_05,Concrete
repair,rep_05,Consistency_Improving
repair,rep_05,Constraint_Priorities
repair,rep_05,Distinguished
repair,rep_05,EMF
repair,rep_05,Fixed
repair,rep_05,Hard_Coded
repair,rep_05,Inter_model
repair,rep_05,Logical
repair,rep_05,MDA
repair,rep_05,Multi_model
repair,rep_05,Multiple_Repairs
repair,rep_05,Object_oriented
repair,rep_05,Operation_based
repair,rep_05,Pre_defined
repair,rep_05,Repair_Action
repair,rep_05,Rule_based
repair,rep_05,Stability
repair,rep_05,State_based
repair,rep_05,Violations
repair,rep_06,Abstract
repair,rep_06,Checkonly
repair,rep_06,Composite
repair,rep_06,Concrete
repair,rep_06,Customizable
repair,rep_06,Distinguished
repair,rep_06,Intra_model
repair,rep_06,Logical
repair,rep_06,Multiple_Repairs
repair,rep_06,Opaque
repair,rep_06,Operation_based
repair,rep_06,Repair_Plan
repair,rep_06,Stability
repair,rep_06,State_based
repair,rep_06,Totality
repair,rep_06,User
repair,rep_06,Violations
repair,rep_06,XML
repair,rep_07,Checkonly
repair,rep_07,Concrete
repair,rep_07,Consistency_Improving
repair,rep_07,Customizable
repair,rep_07,Distinguished
repair,rep_07,Intra_model
repair,rep_07,Least_change
repair,rep_07,Logical
repair,rep_07,Meta_model_Independent
repair,rep_07,Multiple_Repairs
repair,rep_07,Off_the_shelf_Solver
repair,rep_07,Pre_defined
repair,rep_07,Rule_based
repair,rep_07,Search_based
repair,rep_07,Stability
repair,rep_07,State_based
repair,rep_07,Totality
repair,rep_07,User
repair,rep_07,Violations
repair,rep_08,Abstract
repair,rep_08,Bounded
repair,rep_08,Checkonly
repair,rep_08,Consistency_Improving
repair,rep_08,Delta_based
repair,rep_08,Edit_Operations
repair,rep_08,Fixed
repair,rep_08,Goal
repair,rep_08,Hard_Coded
repair,rep_08,History
repair,rep_08,Intra_model
repair,rep_08,Logical
repair,rep_08,Opaque
repair,rep_08,Operation_based
repair,rep_08,Repair_Plan
repair,rep_08,Rule_based
repair,rep_08,Search_based
repair,rep_08,Single_Repair
repair,rep_08,Stability
repair,rep_09,Bounded
repair,rep_09,Composite
repair,rep_09,Concrete
repair,rep_09,Consistency_Improving
repair,rep_09,Delta_based
repair,rep_09,Fixed
repair,rep_09,Hard_Coded
repair,rep_09,Intra_model
repair,rep_09,Logical
repair,rep_09,Multiple_Repairs
repair,rep_09,Object_oriented
repair,rep_09,Opaque
repair,rep_09,Operation_based
repair,rep_09,Other
repair,rep_09,Repair_Action
repair,rep_09,Rule_based
repair,rep_09,Stability
repair,rep_09,Violations
repair,rep_10,Area_Selection
repair,rep_10,Concrete
repair,rep_10,Controlled_Update
repair,rep_10,Generative
repair,rep_10,Graph
repair,rep_10,History
repair,rep_10,Interactive
repair,rep_10,Meta_model_Independent
repair,rep_10,Multi_model
repair,rep_10,Other
repair,rep_10,Pairwise
repair,rep_10,Pattern_Matching
repair,rep_10,Pre_state
repair,rep_10,Rule_based
repair,rep_10,Single_Repair
repair,rep_10,Stability
repair,rep_10,Totality
repair,rep_10,Traceability
repair,rep_10,User
repair,rep_10,Violations
repair,rep_11,Composite
repair,rep_11,Concrete
repair,rep_11,Consistency_Improving
repair,rep_11,EMF
repair,rep_11,Fixed
repair,rep_11,Graph
repair,rep_11,Hard_Coded
repair,rep_11,Intra_model
repair,rep_11,MDA
repair,rep_11,Multiple_Repairs
repair,rep_11,Opaque
repair,rep_11,Operation_based
repair,rep_11,Repair_Action
repair,rep_11,Repair_Hints
repair,rep_11,Rule_based
repair,rep_11,Stability
repair,rep_11,State_based
repair,rep_11,Totality
repair,rep_11,Violations
repair,rep_12,Area_Selection
repair,rep_12,Boolean
repair,rep_12,Checkonly
repair,rep_12,Concrete
repair,rep_12,Fixed
repair,rep_12,Inter_model
repair,rep_12,Meta_model_Independent
repair,rep_12,Multi_model
repair,rep_12,Opaque
repair,rep_12,Other
repair,rep_12,Pairwise
repair,rep_12,Pre_state
repair,rep_12,Single_Repair
repair,rep_12,Stability
repair,rep_12,State_based
repair,rep_12,User
repair,rep_13,Abstract
repair,rep_13,Checkonly
repair,rep_13,Composite
repair,rep_13,Concrete
repair,rep_13,Edit_Operations
repair,rep_13,Hard_Coded
repair,rep_13,Multi_model
repair,rep_13,Multiple_Repairs
repair,rep_13,Opaque
repair,rep_13,Other
repair,rep_13,Repair_Action
repair,rep_13,Stability
repair,rep_13,Totality
repair,rep_13,Traceability
repair,rep_13,Violations
repair,rep_14,Area_Selection
repair,rep_14,Concrete
repair,rep_14,Controlled_Update
repair,rep_14,Delta_based
repair,rep_14,Fixed
repair,rep_14,Generative
repair,rep_14,Graph
repair,rep_14,History
repair,rep_14,Inter_model
repair,rep_14,Meta_model_Independent
repair,rep_14,Multi_model
repair,rep_14,Opaque
repair,rep_14,Pairwise
repair,rep_14,Pattern_Matching
repair,rep_14,Pre_state
repair,rep_14,Rule_based
repair,rep_14,Single_Repair
repair,rep_14,Stability
repair,rep_14,Totality
repair,rep_14,Traceability
repair,rep_14,User
repair,rep_15,Checkonly
repair,rep_15,Composite
repair,rep_15,Concrete
repair,rep_15,Distinguished
repair,rep_15,EMF
repair,rep_15,Fixed
repair,rep_15,Hard_Coded
repair,rep_15,Inter_model
repair,rep_15,Intra_model
repair,rep_15,Logical
repair,rep_15,MDA
repair,rep_15,Multi_model
repair,rep_15,Opaque
repair,rep_15,Pre_state
repair,rep_15,Repair_Hints
repair,rep_15,Rule_based
repair,rep_15,Single_Repair
repair,rep_15,Stability
repair,rep_15,State_based
repair,rep_15,Violations
repair,rep_16,Area_Selection
repair,rep_16,Controlled_Update
repair,rep_16,Delta_based
repair,rep_16,Fixed
repair,rep_16,Fully_Consistent
repair,rep_16,Inter_model
repair,rep_16,Logical
repair,rep_16,Meta_model_Independent
repair,rep_16,Multi_model
repair,rep_16,Multiple_Repairs
repair,rep_16,Opaque
repair,rep_16,Operation_based
repair,rep_16,Other
repair,rep_16,Pairwise
repair,rep_16,Repair_Plan
repair,rep_16,Search_based
repair,rep_16,Traceability
repair,rep_16,User
repair,rep_17,Area_Selection
repair,rep_17,Composite
repair,rep_17,Concrete
repair,rep_17,Consistency_Improving
repair,rep_17,Controlled_Update
repair,rep_17,Customizable
repair,rep_17,Delta_based
repair,rep_17,Graph
repair,rep_17,Inter_model
repair,rep_17,Meta_model_Independent
repair,rep_17,Multi_model
repair,rep_17,Opaque
repair,rep_17,Pairwise
repair,rep_17,Pattern_Matching
repair,rep_17,Pre_state
repair,rep_17,Repair_Hints
repair,rep_17,Rule_based
repair,rep_17,Single_Repair
repair,rep_17,Totality
repair,rep_17,Traceability
repair,rep_17,User
repair,rep_17,Violations
repair,rep_18,Area_Selection
repair,rep_18,Concrete
repair,rep_18,Consistency_Improving
repair,rep_18,Fixed
repair,rep_18,Generative
repair,rep_18,Graph
repair,rep_18,History
repair,rep_18,Inter_model
repair,rep_18,Logical
repair,rep_18,Meta_model_Independent
repair,rep_18,Multi_model
repair,rep_18,Opaque
repair,rep_18,Other
repair,rep_18,Pairwise
repair,rep_18,Pattern_Matching
repair,rep_18,Rule_based
repair,rep_18,Single_Repair
repair,rep_18,Stability
repair,rep_18,State_based
repair,rep_18,Traceability
repair,rep_18,User
repair,rep_18,Violations
repair,rep_19,Concrete
repair,rep_19,EMF
repair,rep_19,Hard_Coded
repair,rep_19,Intra_model
repair,rep_19,Logical
repair,rep_19,MDA
repair,rep_19,Multiple_Repairs
repair,rep_19,Off_the_shelf_Solver
repair,rep_19,Opaque
repair,rep_19,Stability
repair,rep_19,State_based
repair,rep_19,Violations
repair,rep_20,Area_Selection
repair,rep_20,Boolean
repair,rep_20,Concrete
repair,rep_20,Controlled_Update
repair,rep_20,Graph
repair,rep_20,Multi_model
repair,rep_20,Opaque
repair,rep_20,Other
repair,rep_20,Pairwise
repair,rep_20,Single_Repair
repair,rep_20,Stability
repair,rep_20,State_based
repair,rep_20,User
repair,rep_21,Concrete
repair,rep_21,Fixed
repair,rep_21,Generative
repair,rep_21,Graph
repair,rep_21,Interactive
repair,rep_21,Meta_model_Independent
repair,rep_21,Multi_model
repair,rep_21,Multiple_Repairs
repair,rep_21,Other
repair,rep_21,Pairwise
repair,rep_21,Pattern_Matching
repair,rep_21,Pre_state
repair,rep_21,Rule_based
repair,rep_21,Totality
repair,rep_21,Traceability
repair,rep_21,User
repair,rep_21,Violations
repair,rep_22,Area_Selection
repair,rep_22,Concrete
repair,rep_22,Controlled_Update
repair,rep_22,Generative
repair,rep_22,Graph
repair,rep_22,History
repair,rep_22,Meta_model_Independent
repair,rep_22,Multi_model
repair,rep_22,Other
repair,rep_22,Pairwise
repair,rep_22,Pattern_Matching
repair,rep_22,Pre_state
repair,rep_22,Rule_based
repair,rep_22,Single_Repair
repair,rep_22,Stability
repair,rep_22,Totality
repair,rep_22,Traceability
repair,rep_22,User
repair,rep_22,Violations
repair,rep_23,Boolean
repair,rep_23,Bounded
repair,rep_23,Concrete
repair,rep_23,Fixed
repair,rep_23,Fully_Consistent
repair,rep_23,Intra_model
repair,rep_23,Logical
repair,rep_23,Meta_model_Independent
repair,rep_23,Multiple_Repairs
repair,rep_23,Off_the_shelf_Solver
repair,rep_23,Other
repair,rep_23,Pre_defined
repair,rep_23,Search_based
repair,rep_23,Stability
repair,rep_23,State_based
repair,rep_23,Totality
repair,rep_23,User
repair,rep_24,Area_Selection
repair,rep_24,Concrete
repair,rep_24,Fixed
repair,rep_24,Inter_model
repair,rep_24,Meta_model_Independent
repair,rep_24,Multi_model
repair,rep_24,Object_oriented
repair,rep_24,Other
repair,rep_24,Pairwise
repair,rep_24,Single_Repair
repair,rep_24,State_based
repair,rep_24,Traceability
repair,rep_24,User
repair,rep_24,Violations
repair,rep_25,Composite
repair,rep_25,Fixed
repair,rep_25,Hard_Coded
repair,rep_25,History
repair,rep_25,Inter_model
repair,rep_25,Logical
repair,rep_25,Multi_model
repair,rep_25,Opaque
repair,rep_25,Operation_based
repair,rep_25,Other
repair,rep_25,Repair_Action
repair,rep_25,Repair_Hints
repair,rep_25,Rule_based
repair,rep_25,Stability
repair,rep_25,State_based
repair,rep_25,Totality
repair,rep_25,Violations
repair,rep_26,Abstract
repair,rep_26,Checkonly
repair,rep_26,Composite
repair,rep_26,Concrete
repair,rep_26,Delta_based
repair,rep_26,Distinguished
repair,rep_26,Edit_Operations
repair,rep_26,Fixed
repair,rep_26,Hard_Coded
repair,rep_26,History
repair,rep_26,Inter_model
repair,rep_26,Multi_model
repair,rep_26,Multiple_Repairs
repair,rep_26,Object_oriented
repair,rep_26,Opaque
repair,rep_26,Operation_based
repair,rep_26,Other
repair,rep_26,Repair_Action
repair,rep_26,Rule_based
repair,rep_26,Stability
repair,rep_26,Violations
repair,rep_27,Area_Selection
repair,rep_27,Boolean
repair,rep_27,Checkonly
repair,rep_27,Concrete
repair,rep_27,Consistency_Relation
repair,rep_27,Controlled_Update
repair,rep_27,Delta_based
repair,rep_27,EMF
repair,rep_27,Edit_Operations
repair,rep_27,Fixed
repair,rep_27,Fully_Consistent
repair,rep_27,Inter_model
repair,rep_27,MDA
repair,rep_27,Meta_model_Independent
repair,rep_27,Multi_model
repair,rep_27,Object_oriented
repair,rep_27,Opaque
repair,rep_27,Operation_based
repair,rep_27,Pairwise
repair,rep_27,Pre_state
repair,rep_27,Repair_Plan
repair,rep_27,Single_Repair
repair,rep_27,Stability
repair,rep_27,Traceability
repair,rep_27,User
repair,rep_28,Abstract
repair,rep_28,Checkonly
repair,rep_28,Controlled_Update
repair,rep_28,Delta_based
repair,rep_28,Fixed
repair,rep_28,Hard_Coded
repair,rep_28,Inter_model
repair,rep_28,Multi_model
repair,rep_28,Object_oriented
repair,rep_28,Other
repair,rep_28,Pairwise
repair,rep_28,Pre_defined
repair,rep_28,Pre_state
repair,rep_28,Rule_based
repair,rep_28,Single_Repair
repair,rep_28,Stability
repair,rep_28,Totality
repair,rep_28,Traceability
repair,rep_28,Violations
repair,rep_29,Abstract
repair,rep_29,Checkonly
repair,rep_29,Composite
repair,rep_29,Distinguished
repair,rep_29,Fixed
repair,rep_29,Hard_Coded
repair,rep_29,Intra_model
repair,rep_29,Logical
repair,rep_29,Multiple_Repairs
repair,rep_29,Operation_based
repair,rep_29,Other
repair,rep_29,Pre_defined
repair,rep_29,Repair_Action
repair,rep_29,Repair_Hints
repair,rep_29,Rule_based
repair,rep_29,State_based
repair,rep_29,Violations
repair,rep_30,Checkonly
repair,rep_30,Composite
repair,rep_30,Concrete
repair,rep_30,Distinguished
repair,rep_30,Fixed
repair,rep_30,Hard_Coded
repair,rep_30,History
repair,rep_30,Inter_model
repair,rep_30,Least_change
repair,rep_30,Multi_model
repair,rep_30,Multiple_Repairs
repair,rep_30,Opaque
repair,rep_30,Operation_based
repair,rep_30,Repair_Hints
repair,rep_30,Repair_Plan
repair,rep_30,Stability
repair,rep_30,State_based
repair,rep_30,Totality
repair,rep_30,Violations
repair,rep_30,XML
repair,rep_31,Checkonly
repair,rep_31,Composite
repair,rep_31,Concrete
repair,rep_31,Consistency_Improving
repair,rep_31,Customizable
repair,rep_31,Graph
repair,rep_31,Intra_model
repair,rep_31,Meta_model_Independent
repair,rep_31,Multiple_Repairs
repair,rep_31,Number
repair,rep_31,Other
repair,rep_31,Pattern_Matching
repair,rep_31,Pre_defined
repair,rep_31,Stability
repair,rep_31,State_based
repair,rep_31,User
repair,rep_31,Violations
repair,rep_32,Checkonly
repair,rep_32,Concrete
repair,rep_32,Distinguished
repair,rep_32,EMF
repair,rep_32,Fixed
repair,rep_32,Fully_Consistent
repair,rep_32,Intra_model
repair,rep_32,Logical
repair,rep_32,MDA
repair,rep_32,Multiple_Repairs
repair,rep_32,Object_oriented
repair,rep_32,Operation_based
repair,rep_32,Pre_defined
repair,rep_32,Repair_Plan
repair,rep_32,Stability
repair,rep_32,State_based
repair,rep_32,Totality
repair,rep_32,User
repair,rep_32,Violations
repair,rep_33,Area_Selection
repair,rep_33,Checkonly
repair,rep_33,Concrete
repair,rep_33,Consistency_Relation
repair,rep_33,Controlled_Update
repair,rep_33,Customizable
repair,rep_33,EMF
repair,rep_33,Edit_Operations
repair,rep_33,Graph
repair,rep_33,Interactive
repair,rep_33,MDA
repair,rep_33,Meta_model_Independent
repair,rep_33,Multi_model
repair,rep_33,Opaque
repair,rep_33,Pairwise
repair,rep_33,Pre_state
repair,rep_33,Repair_Hints
repair,rep_33,Rule_based
repair,rep_33,Single_Repair
repair,rep_33,State_based
repair,rep_33,Traceability
repair,rep_33,User
repair,rep_33,Violations
repair,rep_34,Checkonly
repair,rep_34,Composite
repair,rep_34,Concrete
repair,rep_34,Consistency_Improving
repair,rep_34,Customizable
repair,rep_34,Edit_Operations
repair,rep_34,Generative
repair,rep_34,Graph
repair,rep_34,Intra_model
repair,rep_34,MDA
repair,rep_34,Opaque
repair,rep_34,Pattern_Matching
repair,rep_34,Repair_Hints
repair,rep_34,Stability
repair,rep_34,User
repair,rep_34,Violations
repair,rep_35,Bounded
repair,rep_35,Checkonly
repair,rep_35,Composite
repair,rep_35,Concrete
repair,rep_35,Distinguished
repair,rep_35,Fixed
repair,rep_35,Intra_model
repair,rep_35,Logical
repair,rep_35,Meta_model_Independent
repair,rep_35,Multiple_Repairs
repair,rep_35,Opaque
repair,rep_35,Operation_based
repair,rep_35,Other
repair,rep_35,Repair_Plan
repair,rep_35,Search_based
repair,rep_35,Stability
repair,rep_35,State_based
repair,rep_35,Totality
repair,rep_35,User
repair,rep_35,Violations
repair,rep_35,Well_behaved
repair,rep_36,Concrete
repair,rep_36,Controlled_Update
repair,rep_36,Customizable
repair,rep_36,Inter_model
repair,rep_36,Meta_model_Independent
repair,rep_36,Multi_model
repair,rep_36,Object_oriented
repair,rep_36,Pairwise
repair,rep_36,Pre_defined
repair,rep_36,Repair_Hints
repair,rep_36,Rule_based
repair,rep_36,Single_Repair
repair,rep_36,State_based
repair,rep_36,User
repair,rep_37,Abstract
repair,rep_37,Area_Selection
repair,rep_37,Checkonly
repair,rep_37,Composite
repair,rep_37,Distinguished
repair,rep_37,Inter_model
repair,rep_37,Meta_model_Independent
repair,rep_37,Multi_model
repair,rep_37,Multiple_Repairs
repair,rep_37,Opaque
repair,rep_37,Operation_based
repair,rep_37,Other
repair,rep_37,Pairwise
repair,rep_37,Repair_Action
repair,rep_37,Repair_Hints
repair,rep_37,Stability
repair,rep_37,State_based
repair,rep_37,Traceability
repair,rep_37,User
repair,rep_37,Violations
repair,rep_38,Abstract
repair,rep_38,Checkonly
repair,rep_38,Composite
repair,rep_38,Fixed
repair,rep_38,Inter_model
repair,rep_38,Meta_model_Independent
repair,rep_38,Multi_model
repair,rep_38,Multiple_Repairs
repair,rep_38,Object_oriented
repair,rep_38,Opaque
repair,rep_38,Operation_based
repair,rep_38,Other
repair,rep_38,Pairwise
repair,rep_38,Repair_Action
repair,rep_38,Rule_based
repair,rep_38,State_based
repair,rep_38,Traceability
repair,rep_38,User
repair,rep_38,Violations
repair,rep_39,Boolean
repair,rep_39,Bounded
repair,rep_39,Checkonly
repair,rep_39,Concrete
repair,rep_39,Consistency_Relation
repair,rep_39,Controlled_Update
repair,rep_39,Fixed
repair,rep_39,Inter_model
repair,rep_39,Least_change
repair,rep_39,Meta_model_Independent
repair,rep_39,Multi_model
repair,rep_39,Multiple_Repairs
repair,rep_39,Off_the_shelf_Solver
repair,rep_39,Other
