doc_id;current_filename;bibtex_key;title;authors;year;venue;doi_url;obtained
rep_26;Article_repair_30.pdf;50;Inconsistency Management for Multiple-View Software Development Environments;John Grundy, John Hosking, Warwick B. Mugridge;1998;;https://doi.org/10.1109/32.730545;true
rep_27;Article_repair_31.pdf;55;Instant and Incremental QVT Transformation for Runtime Models;Hui Song, Gang Huang, Franck Chauvel, Wei Zhang, Yanchun Sun, Weizhong Shao, Hong Mei;2011;;https://doi.org/10.1007/978-3-642-24485-8_20;true
rep_28;Article_repair_32.pdf;49;Relationship-based change propagation: A case study;Marsha Chechik, Winnie Lai, Shiva Nejati, Jordi Cabot, Zinovy Diskin, Steve Easterbrook, Mehrdad Sabetzadeh, Rick Salay;2009;;https://doi.org/10.1109/MISE.2009.5069890;true
rep_29;Article_repair_33.pdf;46;Managing Requirements Inconsistency with Development Goal Monitors;William N. Robinson, Suzanne D. Pawlowski;1999;;https://doi.org/10.1109/32.824411;true
rep_30;Article_repair_34.pdf;47;Pragmatic Consistency Management in Industrial Requirements Specifications;Jan Scheffczyk, Uwe M. Borghoff, Andreas Birk, Johannes Siedersleben;2005;;https://doi.org/10.1109/SEFM.2005.33;true
rep_31;Article_repair_35.pdf;70;Quick Fix Generation for DSMLs;Ábel Hegedüs, Ákos Horváth, István Ráth, Moisés Castelo Branco, Dániel Varró;2011;;https://doi.org/10.1109/VLHCC.2011.6070373;true
rep_32;Article_repair_36.pdf;15;Supporting Change Propagation in UML Models;Hoa Khanh Dam, Michael Winikoff;2010;;https://doi.org/10.1109/ICSM.2010.5609712;true
rep_33;Article_repair_37.pdf;73;Tracing Evolution Changes of Software Artifacts through Model Synchronization;Igor Ivkovic, Kostas Kontogiannis;2004;;https://doi.org/10.1109/ICSM.2004.1357809;true
rep_34;Article_repair_38.pdf;79;A Plug-In for Flexible and Incremental Consistency Management;Robert Wagner, Holger Giese, Ulrich A. Nickel;2003;;https://api.semanticscholar.org/CorpusID:60863975;true
rep_35;Article_repair_39.pdf;39;Using Abduction to Evolve Inconsistent Requirements Specifications;Bashar Nuseibeh, Alessandra Russo;1999;;https://doi.org/10.3127/ajis.v6i2.296;true
rep_36;Article_repair_40.pdf;57;Implementing a Bidirectional Model Transformation Language as an Internal DSL in Scala;Arif Wider;2014;;https://www.researchgate.net/publication/263088305_Implementing_a_Bidirectional_Model_Transformation_Language_as_an_Internal_DSL_in_Scala;true
rep_37;Article_repair_41.pdf;44;Handling Conflict Between Domain Descriptions with Computer-Supported Negotiation;Steve Easterbrook;1991;;https://doi.org/10.1016/1042-8143(91)90007-A;true
rep_38;Article_repair_43.pdf;56;Reconciling Requirements: a method for managing interference, inconsistency and conflict;George Spanoudakis, Anthony Finkelstein;1997;;https://doi.org/10.1023/A:1018998207415;true
rep_39;Article_repair_44.pdf;60;Towards a Framework for Multidirectional Model Transformations;Nuno Macedo, Alcino Cunha, Hugo Pacheco;2014;;https://link.springer.com/article/10.1007/s10270-006-0016-x;true
rep_40;Article_repair_45.pdf;74;MDI: a rule-based multi-document and tool integration approach;Alexander Königs, Andy Schürr;2006;;https://doi.org/10.1007/s10270-006-0016-x;true
